Frequency_MHz,Mean,Std_Dev,Min,Max
100.0,1050.2394991204724,720.9693159123899,114.5294721894762,2073.588676666614
110.0,346.29255367438753,322.6096515445119,106.6770828247567,1024.5867459615122
120.0,172.19681153966718,168.09240939308458,93.39164844888434,982.2693113398178
130.0,565.303866405197,681.5549417525598,120.66896867049125,2049.88975313308
140.0,647.6291094862822,625.6321095867802,129.0968628588627,2051.396597442825
150.0,828.7035274821112,742.600716090892,157.175061635108,2770.6064318123567
160.0,844.8596735278562,719.312013000203,155.54099138169335,2057.0410788314366
170.0,985.962406812867,717.4456441792498,198.2523644247402,2060.2135811609437
180.0,1245.2570437810148,633.7669720912945,215.08137994721906,2056.2490121578176
190.0,913.6465365933524,551.7596996618838,207.9663434308542,1993.2295402185873
200.0,746.5943369722248,624.1483285253626,208.585713796511,2059.8895601463687
210.0,1078.0039571451612,742.5665952487853,178.07021087200408,2072.4140512938043
220.0,1336.4815525163265,863.4140951962451,175.6929139151605,2610.644556426631
230.0,1121.9172754511487,874.6801169823577,190.91883092036784,2695.7954299241624
240.0,1201.5740424929754,678.4797273368523,213.80598681982693,2480.786971910325
250.0,1485.2156852643893,615.8154985420794,253.3081127796739,2349.2775485242264
260.0,1539.0885085725904,825.2127984827913,245.9776412603389,2896.309375740099
270.0,1643.107837340205,666.6340186873117,219.8635940759634,2535.612154884891
280.0,1436.0045341743619,608.0543872308414,302.768888758406,2434.911292018664
290.0,1450.8511320486482,364.6893919942779,868.6184432764479,2063.08143319647
300.0,1659.9495232778659,540.1865049865509,834.4111696280197,2666.6252080110544
310.0,1360.2251825241735,615.0478459657255,193.9922678871506,2068.8530638979655
320.0,1260.2995008179832,758.7003415301341,199.21094347449892,2567.821060743914
330.0,1609.076545801493,552.2756827450723,249.3531632043195,2413.5105137537726
340.0,1433.9355919461614,785.8862246852353,253.23901753086943,2896.309375740099
350.0,2097.0100619760465,766.6765419466144,405.7647101461634,2896.309375740099
360.0,1758.7679877655123,614.2149177700345,706.8422737782454,2831.312239933985
370.0,1632.3750061463331,533.235557055941,313.6829609653671,2545.4622370013662
380.0,1572.0665350791494,787.4587540209561,237.1855813492886,2896.309375740099
390.0,1347.0330514810257,747.0075489696985,240.96887765850593,2479.397104136407
400.0,1154.530781142763,651.3063452737745,242.29733799610756,2080.8856287648296
410.0,1739.6300979503765,789.9828113985543,215.59452683219953,2896.309375740099
420.0,1868.9706803443437,677.9047396302827,264.0075756488817,2896.309375740099
430.0,1420.5747101525187,724.8699558369676,242.5633937757303,2448.523636806474
440.0,1539.7668453822448,625.0508314222218,308.9239388587424,2894.895162177726
450.0,1326.5229516847526,688.7289006957471,277.24537868105216,2213.4120718926247
460.0,1387.9196313953707,624.5432065016305,263.78210705049725,2286.5423678558855
470.0,1766.2631020253566,380.7646706612438,1027.56265015813,2484.4864660528942
480.0,1654.815854484842,482.95777014724865,712.4696484763404,2366.1210873495043
490.0,1744.95199244267,732.5758009041498,262.97528400973346,2895.6023552967354
500.0,1294.194710869784,653.5124867641597,227.6071176391459,2408.9643002751204
510.0,1565.9824255515161,831.4117889853325,459.6194077712559,2895.6023552967354
520.0,1913.9590633771593,740.5151340225453,287.07664481806944,2896.309375740099
530.0,1627.2096969054649,673.8046024604054,268.7768591229535,2785.413793316892
540.0,2046.984991509857,598.8423870547165,1004.987562112089,2896.309375740099
550.0,1985.6128528480021,492.7773925463894,1093.1321969460053,2742.495214216426
560.0,1871.3026194257927,458.4744993237545,878.5516490224123,2676.2249531756484
570.0,1840.0121675710418,388.2650424523397,984.7725625747297,2649.4023854446873
580.0,1736.6025772671262,436.03601758246475,794.7760690911623,2447.0523083906482
590.0,1681.091054555058,611.630661670065,716.5430901208944,2895.6023552967354
600.0,1572.987805998902,523.4933831279626,335.5547645318123,2099.90475974507
610.0,1646.0791036401208,573.7706724461757,288.0451353520833,2515.7156039584443
620.0,1812.3874535019775,627.2496778704771,331.0060422409234,2896.309375740099
630.0,2140.6359988166973,494.70593342918454,1348.2525727770742,2896.309375740099
640.0,1951.1843216424927,597.5040945269949,795.8341535772388,2782.084290599406
650.0,1784.1802757037021,492.4985520687972,786.7528201411164,2896.309375740099
660.0,1706.9024741281828,582.7922990355047,785.2197144748723,2894.895162177726
670.0,1909.4592646853835,300.53059163278976,1313.9140002298475,2515.7156039584443
680.0,1772.2298690751475,402.94551884576936,661.8897189109376,2279.101577376489
690.0,2003.0231344006572,478.980545592165,997.0556654470201,2861.870891567263
700.0,2007.7281453248434,499.0465854712009,1160.6123383800466,2895.6023552967354
710.0,1850.0382568870018,534.0904493196863,771.4382671348369,2806.738498684906
720.0,1769.822499872598,414.58967539569517,1035.0966138481951,2895.6023552967354
730.0,1981.6713750124034,503.16339439237055,711.4105706271167,2895.6023552967354
