Frequency_MHz,Mean,Std_Dev,Min,Max
100.0,768.8015175577248,820.734930779079,112.48555462813881,2066.7820397903597
110.0,201.96030177899965,144.4264397724163,112.40106761058811,689.7717013621246
120.0,253.95021837571053,208.49145446979094,112.79184367674819,764.8012813796797
130.0,203.65056461134063,144.57305258409042,111.01801655587258,632.2285978979439
140.0,164.17754054529073,20.448353980196625,121.0,196.37973418863768
150.0,281.72697848635363,233.04967194344988,145.24462124292248,943.8479750468292
160.0,398.3688868932724,273.7993242420717,153.11760186209816,1211.5960547971422
170.0,1033.5471654294013,739.7280154440887,188.0026595556563,2057.6418541621865
180.0,1122.351602385196,645.3833594255298,191.04973174542803,2058.5354016873257
190.0,852.283470102861,704.2137506392683,208.8923167567443,2060.789411851682
200.0,932.8598426049987,505.9154811378846,239.3532953606447,1903.2690298536359
210.0,1053.5655468108278,705.4626273398195,215.13251730038394,2057.540522079699
220.0,1491.5726301510454,586.6458974409451,265.30736891386937,2060.7632081343068
230.0,1456.7345438827292,572.1161671013817,437.7727721090017,2178.355801975426
240.0,1464.6236523335524,684.9002533399486,262.48809496813374,2533.0363203081
250.0,1445.4944566022555,695.7872202995324,261.61995336747543,2533.9396204329732
260.0,1465.8788588255784,535.6948490028818,450.89355728375625,2392.7661816399864
270.0,1605.249198223144,660.1834984335449,319.931242613159,2675.7406451298675
280.0,1582.8433618646504,615.2112253535453,339.83819679370947,2689.5055307621137
290.0,1219.1539194763723,692.2156027029434,199.7248106770914,2387.603400902252
300.0,910.7841154080999,558.5990468308058,205.8057336421899,2062.209737150904
310.0,1102.0902096892676,829.2871213922633,228.54321254414887,2677.5520536490044
320.0,1108.1466536736523,845.1028777325791,232.95707759155977,2895.6023552967354
330.0,1478.7590046903379,802.5594595089152,223.60008944542037,2733.117267882957
340.0,1471.6980998830213,482.7930641596923,686.2317392834581,2176.301909202857
350.0,1757.080287762022,594.8328692650822,735.0550999755052,2894.895162177726
360.0,1700.512301559747,753.2564717571121,268.0335799857921,2895.6023552967354
370.0,1737.8765714571514,712.7146009310715,268.16412884649577,2894.895162177726
380.0,1599.6747793266086,640.1347048757517,584.8529729769697,2635.6374940420014
390.0,1183.0993613805251,545.3552797039686,288.01562457616774,2555.8061350579783
400.0,1525.553957388101,759.3902574417872,283.5507009337131,2793.6184420926206
410.0,1537.1392984600561,542.9898499325075,284.1636852238512,2312.571079988678
420.0,1342.8213343147509,612.6488260897524,268.337474088134,2258.452567578075
430.0,1308.4406660891743,804.8183045409176,220.6218484194165,2895.6023552967354
440.0,1461.3204943070932,676.3470210757731,310.8649224341659,2358.1486382329676
450.0,1230.1488041817258,722.9778970136432,246.2194143441983,2345.262885051482
460.0,1565.8352811653185,850.7790031835107,242.260190704127,2895.6023552967354
470.0,1442.9959943216109,720.5735218364509,272.1065967594318,2742.495214216426
480.0,1716.2330045413496,849.1951213490165,249.6577657514382,2895.6023552967354
490.0,1482.4673769597064,609.3767933308644,281.3201023745015,2325.2565449859508
500.0,1555.486429576994,534.7703875513455,612.5952987086988,2220.317319664016
510.0,1449.3687205153435,790.0721688502357,327.53625753494833,2895.6023552967354
520.0,1314.696358781661,588.9223753655843,290.1465147128257,2065.92594252553
530.0,1625.6049204169776,626.8969952999557,282.19496806286253,2575.495680446776
540.0,1865.5541948073335,565.140925997013,335.5964838909967,2516.063989647322
550.0,1536.9432279570121,751.9181564752108,283.82565070831777,2800.3803313121593
560.0,1563.1824013488294,823.1027761545372,268.6726632912251,2708.742328092504
570.0,1678.477398219328,710.9113753956076,251.18120948828954,2622.9390004344364
580.0,1718.5861343094864,591.268956532622,431.14730661341264,2442.7644176219696
590.0,1707.443595088028,655.6824609465095,343.7513636336589,2819.562022726225
600.0,1334.62503340342,516.4825458937794,258.0077518215296,2411.0754861679466
610.0,1613.1183319830554,683.6956099173108,250.4595775769016,2818.8744207573345
620.0,1990.6216073099554,512.0582159390968,707.6058224746317,2894.895162177726
630.0,1880.1897844277348,647.4948142908861,531.8430219529067,2895.6023552967354
640.0,1930.7019328075246,732.0146765286119,425.56903082813716,2895.6023552967354
650.0,1772.8925738375806,679.7627539307803,373.9090798576574,2852.087831747122
660.0,2007.888266640418,365.0224495667896,1047.7423347369333,2624.815803061236
